date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,img_signature,brand_resolved_url,extract_source,confidence_score,is_fallback,is_primary_hero,landing_title,landing_subtitle,landing_summary,landing_keywords,landing_category,landing_text_status
2026-07-02,salomon,Salomon,5,BRING ON ADVENTURE,https://salomon.co.kr/pages/26ss-ftw-summer-shoes,https://salomon.co.kr/pages/26ss-ftw-summer-shoes,,,https://salomon.co.kr/cdn/shop/files/pc_main_e4325905-a490-43aa-bff5-d3c6d6674117_180x.jpg?v=1780621937,salomon_4_cc1d1eb3c9.jpg,ok,180,84,5871,0f65ef3c36f07f02,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,salomon,Salomon,6,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_22_02_1_2450x.jpg?v=1782702953,salomon_3_7ae279d898.jpg,cached,1100,427,144786,b7c1de0c40fdc28e,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,7,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2_1512x.jpg?v=1782871103,salomon_5_3ede833d29.jpg,cached,1100,427,64870,8ba3d381974bfae4,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,8,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2bcd619d-08f1-4c03-addf-1c94b7bbdd7e_1512x.jpg?v=1782178319,salomon_7_bb1635f29f.jpg,cached,1100,427,113568,dfc1517776f946a3,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,9,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/pc_main_e4325905-a490-43aa-bff5-d3c6d6674117_1512x.jpg?v=1780621937,salomon_9_70c6904878.jpg,cached,1100,515,141439,dc980934fffcd5c7,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,10,러닝,https://salomon.co.kr/collections/gnb-running,https://salomon.co.kr/collections/gnb-running,,,https://salomon.co.kr/cdn/shop/files/PC_1_460x.png?v=1770795947,salomon_11_d41f9dc1a5.jpg,ok,460,672,52753,22d15b87f8be0709,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,11,image,https://salomon.co.kr/collections/26ss_ftw_trailrunning,https://salomon.co.kr/collections/26ss_ftw_trailrunning,,,https://salomon.co.kr/cdn/shop/files/11_0f5bcd21-8254-441b-b110-5d69a62fefb7.jpg?v=1782105523,salomon_12_a62559d033.jpg,ok,750,1000,185773,694d8697e8fa11ef,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,salomon,Salomon,12,image,https://salomon.co.kr/pages/gravel-running-apparel,https://salomon.co.kr/pages/gravel-running-apparel,,,https://salomon.co.kr/cdn/shop/files/mo_1ac0baaf-ec15-4994-a36e-ac696082786e.jpg?v=1781077325,salomon_13_0537fb614f.jpg,ok,750,1000,91804,e44450511f01a930,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,1,경쾌한 무드의 썸머 에센셜 Light Moment with V,http://snowpeakstore.co.kr/goods/event_sale.php?sno=599,http://snowpeakstore.co.kr/goods/event_sale.php?sno=599,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/a356fc59a5166db3a18e563eb5c5a58f_72402.jpg,snowpeak_1_efaaedb91c.jpg,ok,1100,575,26363,770ad33b85460673,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,1,코튼 보타닉 그래픽 반팔 티셔츠 White,,헤리티지 프리미엄 아웃도어 & 라이프스타일 웨어 스노우피크 어패럴 공식 온라인몰,"티셔츠, 바람막이, 백팩, 슈즈",라이프스타일,ok
2026-07-02,snowpeak,Snow Peak,2,메인 배너,https://www.snowpeakstore.co.kr/service/company.php,https://www.snowpeakstore.co.kr/service/company.php,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/wib/img/kt_chn.png,snowpeak_1_7b1331f7f3.jpg,ok,84,28,1124,f1b0dfd951869163,https://www.snowpeakstore.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,3,가볍게 입고 자유롭게 즐기는 Summer In Nature,https://snowpeakstore.co.kr/goods/event_sale.php?sno=633,https://snowpeakstore.co.kr/goods/event_sale.php?sno=633,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/e9e8eb7f91a68254b64f13323efeade2_27720.jpg,snowpeak_2_029eb0a97a.jpg,ok,1100,575,104875,a57b566d004261d8,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,4,입는 순간 전해지는 시원함 냉감 우븐 컬렉션,http://snowpeakstore.co.kr/goods/event_sale.php?sno=621,http://snowpeakstore.co.kr/goods/event_sale.php?sno=621,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/b642237469e2f83c36d2cfe61f9dbd0a_23648.jpg,snowpeak_3_f3bb87a9c2.jpg,ok,1100,575,120124,a1e4ec77ebc83f27,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,5,매일 입고 싶은 도시의 여름 Summer In City,https://snowpeakstore.co.kr/goods/event_sale.php?sno=632,https://snowpeakstore.co.kr/goods/event_sale.php?sno=632,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/67316102e52b7c6d3b2d3074a978a66d_29149.jpg,snowpeak_4_8a7c1aaa87.jpg,ok,1100,575,87824,5a5883cfcb897742,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,6,가볍고 편안하게 포인트를 더하는 악세서리,http://snowpeakstore.co.kr/goods/event_sale.php?sno=618,http://snowpeakstore.co.kr/goods/event_sale.php?sno=618,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/b6c56459944060f40c29283a932365d6_76606.jpg,snowpeak_5_dc2406ad35.jpg,ok,1100,575,23815,26c914c039fbc4e0,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,7,여름을 함께할 특별한 선물 Special Season Gift,http://snowpeakstore.co.kr/goods/event_sale.php?sno=639,http://snowpeakstore.co.kr/goods/event_sale.php?sno=639,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/033c07eb6d092a5d7050ac5c1ec446db_15409.jpg,snowpeak_6_9f1b08c563.jpg,ok,1100,575,24131,0d2cb6e060cf2fee,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,8,메인 배너,http://snowpeakstore.co.kr/goods/event_sale.php?sno=640,http://snowpeakstore.co.kr/goods/event_sale.php?sno=640,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260625/img/banner/8971e7b330b716d3540a6c09254a24a4_68637.jpg,snowpeak_7_ca657755d7.jpg,ok,1100,575,34186,e2240929f4b186b1,https://www.snowpeakstore.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-07-02,snowpeak,Snow Peak,9,타슬란 4부 반바지 Light Beige,https://www.snowpeakstore.co.kr/goods/goods_view.php?goodsNo=1000011184&mtn=72%5E%7C%5E%E2%AD%90%EF%B8%8F%5B%EB%A9%94%EC%9D%B8%ED%8E%98%EC%9D%B4%EC%A7%80+%EC%83%81%EB%8B%A8%5D+BEST+ITEM%5E%7C%5En,https://www.snowpeakstore.co.kr/goods/goods_view.php?goodsNo=1000011184&mtn=72%5E%7C%5E%E2%AD%90%EF%B8%8F%5B%EB%A9%94%EC%9D%B8%ED%8E%98%EC%9D%B4%EC%A7%80+%EC%83%81%EB%8B%A8%5D+BEST+ITEM%5E%7C%5En,,,https://godomall.speedycdn.net/8bed9a8aac3fd3e40e7d00120cb75013/goods/1000011184/image/main/1000011184_main_098.jpg,snowpeak_9_7d49424e68.jpg,ok,1000,1000,50865,d7b341669ffac7f5,https://www.snowpeakstore.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-07-02,blackyak,Black Yak,1,SUMMER HIKING 산책과 등산 사이,https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/kSEawNosoUOT0XAZZe9o7A?utm_source=BY_pc&utm_medium=pc_by_main_banner_ss_shoes,https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/kSEawNosoUOT0XAZZe9o7A,,,https://cdn.byn.kr/real/_data/banner/692c9d82b46444ef14bc9b6f738018df.jpg,blackyak_1_495511f18c.jpg,ok,1100,538,157224,d643983a784442cb,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,1,BYN 블랙야크 공식몰,,BYN 블랙야크 공식몰입니다.,"샌들, 신발",풋웨어,ok
2026-07-02,blackyak,Black Yak,2,COIN POINT : UPTO 40% 등급별로 10% UP,https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/iXCLjxE98kCX3bas0jjvJg?utm_source=BY_pc&utm_medium=pc_by_main_banner_july_bac_1,https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/iXCLjxE98kCX3bas0jjvJg,,,https://cdn.byn.kr/real/_data/banner/480931c9664b4997a3bc5a20e1d395be.jpg,blackyak_2_421c9dcd15.jpg,ok,1100,538,22878,6cb44fcaacf99254,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
2026-07-02,blackyak,Black Yak,3,"INTO THE SUMMER 16,000P 즉시 사용",https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/fmW3hp9YS0SGaLJu8fOUbw?utm_source=BY_pc&utm_medium=pc_by_main_banner_july_2,https://rF0pCk9RNUKFcOSlGwiXrw.adtouch.adbrix.io/api/v1/click/fmW3hp9YS0SGaLJu8fOUbw,,,https://cdn.byn.kr/real/_data/banner/5fdf21b884b0cfc2d312e135a2840bce.jpg,blackyak_3_ed35fc7c78.jpg,ok,1100,538,57182,5d3f6baf93fccbd3,https://www.byn.kr/blackyak,blackyak_swiper,0.93,0,0,,,,,,skipped
