brand,source_url,product_url,name,description,image_url,current_price,original_price,discount_rate,sold_out,gender,season,item_category,raw_keywords,standard_attributes,dominant_attribute,grade,shell_type,price_band,positioning_y,positioning_x,attribute_coverage_flag,crawled_at
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=219&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=219&gdv=1,3",남성 파인 에비뉴 인슐레이션 자켓,"남성 아우터 경량패딩/슬림다운 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,269000.0,269000.0,0.0,True,공용,미분류,다운,"경량, 인슐레이션, PERFECT, NOW, MAKE, BETTER","경량, 인슐레이션",경량,Entry,Unknown,20-29.9만,Premium,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=201&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=201&gdv=1,3",남성 카우 마운틴 2L 방수 자켓,"[공식몰 단독] 남성 센트릴리엄 2.5레이어 방수 자켓 155,000원 259,000원 40% SOLD OUT COMING SOON #바람막이 #레인자켓 #방수자켓 4.8 (20) S M L XL XXL S M L XL M L XL XXL L XL XXL",/data/ProductImages/filtercolorchip/BLACK.png,259000.0,259000.0,0.0,True,공용,미분류,자켓,"2L, 방수, SOLD, OUT, COMING, SOON, XXL","2L, 방수",2L,Entry,Hard Shell,20-29.9만,Premium,Performance,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=204&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=204&gdv=1,3",공용 쓰리 락 바람막이 자켓,"남성 아우터 바람막이 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,169000.0,169000.0,0.0,True,공용,미분류,자켓,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,10-19.9만,Premium,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=200&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=200&gdv=1,3",공용 센트릴리엄 II 3레이어 방수 자켓,"남성 아우터 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,자켓,"방수, PERFECT, NOW, MAKE, BETTER",방수,방수,Entry,Hard Shell,기타,Mass,Performance,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=225&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=225&gdv=1,3",남성 소모 하이크 베스트,"남성 아우터 베스트 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,119000.0,119000.0,0.0,True,공용,미분류,베스트,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,10-19.9만,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=371&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=371&gdv=1,3",남성 잉글리쉬 하이크 OFZ ICE 셋업 자켓,"남성 쿨링 아우터 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,자켓,"OFZ, ICE, PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=370&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=370&gdv=1,3",공용 고트 림 OF 크루넥 반팔 티셔츠,"공용 고트 림 OF 크루넥 반팔 티셔츠 79,000원 SOLD OUT COMING SOON #쿨링 5.0 (1) 90 95 100 105 110 90 95 100 105 110 90 95 100 105 110 90 95 100 105 110",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,티셔츠,"SOLD, OUT, COMING, SOON",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=391&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=391&gdv=1,3",[공식몰 단독] 남성 PFG 프로 가이드 팬츠,"남성 쿨링 하의 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,팬츠,"PFG, PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=260&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=260&gdv=1,3",남성 글레시얼 비스타 긴팔 쿨링 셔츠,"남성 상의 셔츠 IT'S PERFECT, NOW MAKE IT BETTER. 컬럼비아만의 새로운 혁신과 테크놀로지는 아웃도어에 최적화된 기어를 제공합니다. 당신이 좀 더 오랫동안 즐겁게 아웃도어를 즐길 수 있도록 새로운 가이드를 경험하세요.",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,티셔츠,"PERFECT, NOW, MAKE, BETTER",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
COLUMBIA,"https://www.columbiakorea.co.kr/product/list.asp?cno=250&gdv=1,3","https://www.columbiakorea.co.kr/product/list.asp?cno=250&gdv=1,3",[공식몰 단독] 공용 CSC 헤비웨이트 아이코닉 티셔츠,"공용 CSC 아웃도어 백그래픽 반팔 티셔츠 39,000원 SOLD OUT COMING SOON +1 색상 5.0 (4) S M L XL XXL S M L XL XXL S M L XL XXL S M L XL XXL S M L XL XXL S M L XL XXL M L XL XXL",/data/ProductImages/filtercolorchip/BLACK.png,,,,True,공용,미분류,티셔츠,"CSC, SOLD, OUT, COMING, SOON, XXL",,기타,Entry,Unknown,기타,Mass,Lifestyle,Critical,2026-04-08 09:10
