interval_bucket,repeat_orders,repeat_buyers,avg_days_since_prev_order,median_days_since_prev_order,revenue
7일 이내,4707,2591,2.9201189717442113,3,584958034
8~30일,6046,3498,17.464108501488585,17,583430688
31~90일,6701,4232,56.60244739591105,55,593904696
91~180일,4347,3376,130.18932597193464,130,386514811
181일 이상,5118,4752,313.71395076201657,293,444445572
