member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,202601 생일축하쿠폰1만원,포인트 사용,일반 상품,177,177,177,9114364,51493.581920903955
FAMILY,쿠폰 사용,202602 생일축하쿠폰1만원,포인트 사용,일반 상품,190,190,190,8691908,45746.88421052632
FAMILY,쿠폰 사용,2026년 5월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,71,71,90,8329770,117320.7042253521
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,62,62,69,8255007,133145.2741935484
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,62,62,72,8187501,132056.46774193548
FAMILY,쿠폰 미사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능)",포인트 사용,일반 상품,484,480,580,7812487,16141.502066115703
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 사용,일반 상품,76,76,87,7746930,101933.28947368421
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,61,61,67,7650262,125414.13114754099
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,35,35,43,7506550,214472.85714285713
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인,포인트 미사용,일반 상품,55,54,77,7471000,135836.36363636365
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,38,38,39,7352410,193484.47368421053
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원,포인트 사용,일반 상품,111,111,111,7150430,64418.28828828829
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,30,30,63,6329070,210969.0
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,27,27,52,6250910,231515.1851851852
FAMILY,쿠폰 사용,2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,64,64,64,5622970,87858.90625
FAMILY,쿠폰 사용,202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,68,68,68,5000400,73535.29411764706
FAMILY,쿠폰 사용,"신규회원 스페셜 5,000 / 첫 구매 장바구니 10% 할인",포인트 미사용,일반 상품,27,27,41,4941384,183014.22222222222
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,38,38,43,4734300,124586.84210526316
FAMILY,쿠폰 사용,202604 생일축하쿠폰1만원,포인트 사용,일반 상품,107,107,107,4651130,43468.504672897194
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인,포인트 미사용,일반 상품,46,46,46,4648600,101056.52173913043
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,31,31,58,4562310,147171.29032258064
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202512 생일축하쿠폰1만원,포인트 사용,일반 상품,27,27,31,4537900,168070.37037037036
FAMILY,쿠폰 미사용,등급할인10%,포인트 사용,일반 상품,64,64,89,4392320,68630.0
FAMILY,쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,14,14,33,4376620,312615.71428571426
FAMILY,쿠폰 사용,26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,13,13,45,3970840,305449.23076923075
FAMILY,쿠폰 사용,2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,29,29,30,3756400,129531.03448275862
FAMILY,쿠폰 사용,2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,38,38,38,3623179,95346.81578947368
