coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,202605 생일축하쿠폰1만원,포인트 미사용,일반 상품,24,24,24,1742600,240000,0,0,72608.33333333333
쿠폰 사용,등급할인10% / GNR 스페셜 20%,포인트 사용,일반 상품,14,14,20,1706540,637880,86580,0,121895.71428571429
쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,8,8,16,1700630,160000,81570,0,212578.75
쿠폰 사용,"신규회원 스페셜 5,000",포인트 사용,일반 상품,20,20,20,1694040,100000,116060,0,84702.0
쿠폰 사용,2026년 3월 신규회원 5000원 할인,포인트 미사용,일반 상품,14,14,14,1678500,70000,0,0,119892.85714285714
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인20%,포인트 미사용,일반 상품,12,12,15,1669800,545200,0,0,139150.0
쿠폰 사용,Winter Festival 15% (오후6시),포인트 미사용,일반 상품,4,4,6,1569190,259610,0,0,392297.5
쿠폰 사용,등급할인10% / 25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,12,12,19,1562710,279700,79590,0,130225.83333333333
쿠폰 사용,25년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,7,7,11,1553000,140000,0,0,221857.14285714287
쿠폰 사용,"신규회원 스페셜 5,000",포인트 미사용,일반 상품,12,12,12,1549200,60000,0,0,129100.0
쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,16,16,16,1517730,80000,50270,0,94858.125
쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,26,26,37,1477057,0,80840,0,56809.88461538462
쿠폰 사용,202602 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,10,10,10,1455070,271680,90050,0,145507.0
쿠폰 미사용,202604 생일축하쿠폰1만원,포인트 사용,일반 상품,26,26,33,1448410,0,145490,0,55708.07692307692
쿠폰 사용,202604 생일축하쿠폰1만원,포인트 미사용,일반 상품,25,25,25,1442400,250000,0,0,57696.0
쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 사용,일반 상품,3,3,14,1414510,132090,14750,0,471503.3333333333
쿠폰 사용,2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,13,13,19,1392000,420200,28800,0,107076.92307692308
쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,14,14,23,1389740,0,75260,0,99267.14285714286
쿠폰 미사용,등급할인20%,포인트 사용,일반 상품,16,16,18,1372900,0,106250,0,85806.25
쿠폰 사용,등급할인10% / 26년 신상품 30만원이상 3만원할인,포인트 미사용,일반 상품,5,5,10,1369000,221000,0,0,273800.0
쿠폰 미사용,26년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,17,17,24,1332740,0,35260,0,78396.4705882353
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원,포인트 미사용,일반 상품,8,8,11,1326735,227415,0,0,165841.875
쿠폰 사용,Winter Festival 15% (오전10시),포인트 사용,일반 상품,7,7,8,1308825,239365,47510,0,186975.0
쿠폰 사용,Winter Festival 10% (오후6시),포인트 사용,일반 상품,7,7,7,1288520,148590,48790,0,184074.2857142857
쿠폰 사용,등급할인20%,포인트 미사용,일반 상품,16,14,16,1229600,307400,0,0,76850.0
쿠폰 사용,25년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,5,5,13,1183780,190500,40920,0,236756.0
쿠폰 사용,26년 신상품 40만원이상 4만원할인 / 등급할인10%,포인트 미사용,일반 상품,3,3,5,1177300,233700,0,0,392433.3333333333
쿠폰 사용,26년 신상품 60만원이상 6만원할인,포인트 미사용,일반 상품,2,2,8,1162000,120000,0,0,581000.0
쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,21,1161800,0,0,0,105618.18181818182
쿠폰 미사용,2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,8,1153450,0,2550,0,576725.0
쿠폰 사용,GNR 스페셜 20%,포인트 미사용,일반 상품,18,18,27,1119200,279800,0,0,62177.77777777778
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,8,1104060,180000,87780,0,184010.0
쿠폰 사용,202603 생일축하쿠폰1만원 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,8,8,8,1085950,206550,53000,0,135743.75
쿠폰 사용,Winter Festival 15% (오전10시),포인트 미사용,일반 상품,6,6,7,1084340,191360,0,0,180723.33333333334
쿠폰 사용,GNR 스페셜 20% / 2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,8,8,10,1069150,314800,30050,0,133643.75
쿠폰 사용,Winter Festival 10% (오전10시),포인트 사용,일반 상품,10,10,10,1067750,125200,59050,0,106775.0
쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 사용,일반 상품,8,8,11,1063070,198200,38730,0,132883.75
쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 10% (오후6시),포인트 사용,일반 상품,4,4,6,1043350,138150,20000,0,260837.5
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202604 생일축하쿠폰1만원,포인트 사용,일반 상품,11,11,12,1020360,229080,51360,0,92760.0
쿠폰 사용,HSS 30% 할인 쿠폰,포인트 사용,일반 상품,19,14,19,1015385,506785,179780,0,53441.31578947369
쿠폰 미사용,2025년 12월 신규회원 5000원 할인,포인트 사용,일반 상품,12,12,17,1014660,0,19740,0,84555.0
쿠폰 사용,GNR 스페셜 20% / 등급할인10%,포인트 사용,일반 상품,10,10,12,1013850,400000,34150,0,101385.0
쿠폰 사용,2025년 12월 신규회원 5000원 할인 / ★ 단체 구매 10% 할인,포인트 미사용,일반 상품,1,1,7,1009800,117200,0,0,1009800.0
쿠폰 사용,25년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,3,3,3,999620,90000,47380,0,333206.6666666667
쿠폰 사용,25년 신상품 50만원이상 5만원할인,포인트 미사용,일반 상품,2,2,46,948000,100000,0,0,474000.0
쿠폰 사용,Winter Festival 15% (오후6시),포인트 사용,일반 상품,7,7,7,939490,173630,44380,0,134212.85714285713
쿠폰 사용,등급할인20% / 26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,3,3,4,921400,315400,59200,0,307133.3333333333
쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,3,3,3,902420,203700,30880,0,300806.6666666667
쿠폰 사용,Winter Festival 10% (오후6시),포인트 미사용,일반 상품,4,4,5,898110,99790,0,0,224527.5
쿠폰 사용,첫 구매 장바구니 10% 할인 / 무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,47,47,54,893460,121140,196800,0,19009.787234042553
쿠폰 사용,GNR 스페셜 20%,포인트 사용,일반 상품,21,21,25,886490,239600,71910,0,42213.80952380953
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,5,5,11,865320,309870,49810,0,173064.0
쿠폰 사용,Winter Festival 20% (오후6시),포인트 사용,일반 상품,5,5,5,861540,221520,24540,0,172308.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,2,855740,115860,7000,0,427870.0
쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 미사용,일반 상품,2,2,4,844200,151800,0,0,422100.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,3,3,6,836380,138820,8000,0,278793.3333333333
쿠폰 사용,등급할인10% / 2026년 5월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,8,836340,139060,21000,0,418170.0
쿠폰 미사용,F25 온라인 전용 10% 할인,포인트 사용,일반 상품,7,7,18,826100,0,58900,0,118014.28571428571
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,4,4,7,817920,130880,0,0,204480.0
쿠폰 미사용,25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,4,4,12,806830,0,9670,0,201707.5
쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 사용,일반 상품,21,21,24,804100,0,58800,0,38290.47619047619
쿠폰 미사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능)",포인트 미사용,일반 상품,32,32,34,794700,0,0,0,24834.375
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,7,7,8,781830,156870,0,0,111690.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원 / 2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,9,772200,116800,9000,0,386100.0
쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,6,6,10,771900,131400,0,0,128650.0
쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,4,4,9,766310,149440,15250,0,191577.5
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,3,3,6,756940,90000,31580,0,252313.33333333334
쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,16,16,22,756000,0,0,0,47250.0
쿠폰 사용,등급할인10% / 2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,1,1,5,742080,240920,2000,0,742080.0
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인20% / 등급할인20%,포인트 사용,일반 상품,6,6,12,724440,273600,69960,0,120740.0
쿠폰 미사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,11,11,18,720370,0,12630,0,65488.181818181816
쿠폰 사용,등급할인20% / 등급할인20% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,6,6,13,718890,267600,100510,0,119815.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,8,8,9,693840,161760,42000,0,86730.0
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,6,683410,120000,140590,0,113901.66666666667
쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 15% (오후6시),포인트 사용,일반 상품,3,3,3,671615,134585,6000,0,223871.66666666666
쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 미사용,일반 상품,8,8,8,670000,40000,0,0,83750.0
쿠폰 미사용,2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,9,9,10,669130,0,11270,0,74347.77777777778
쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인20%,포인트 사용,일반 상품,6,6,6,662620,256800,64580,0,110436.66666666667
쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,2,658200,139800,0,0,329100.0
쿠폰 미사용,202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,14,651900,0,0,0,59263.63636363636
쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,4,648990,97010,0,0,648990.0
