member_grade_label,buyers,orders,quantity,revenue,aov,revenue_per_buyer,repeat_buyers,repeat_rate,repeat_revenue,repeat_revenue_share,coupon_order_rate,point_order_rate,promo_order_rate
FAMILY,38555,60823,82730,6164261321,101347.53828321522,159882.2804046168,10329,0.26790299572039944,3095792471,0.5022162932083132,0.6191572267070022,0.6916791345379215,0.0012659684658763955
SILVER,726,4105,7194,662541352,161398.6241169306,912591.3939393939,591,0.8140495867768595,582913647,0.8798147394730466,0.44043848964677224,0.707673568818514,0.00146163215590743
GOLD,51,648,1393,123046698,189886.87962962964,2412680.3529411764,45,0.8823529411764706,111171738,0.9034922497473277,0.35030864197530864,0.6327160493827161,0.0015432098765432098
TITANIUM,14,249,964,77946495,313038.1325301205,5567606.785714285,13,0.9285714285714286,71340945,0.9152553299542205,0.3493975903614458,0.606425702811245,0.004016064257028112
