member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate,rank_in_first_category
FAMILY,UNKNOWN,자켓/ 베스트,9,9,9,567947,0.04,1
FAMILY,UNKNOWN,라운드티,9,9,9,375650,0.04,2
FAMILY,가방,가방,9,9,14,1063840,0.059602649006622516,1
FAMILY,가방,라운드티,9,9,9,306490,0.059602649006622516,2
FAMILY,긴바지,긴바지,85,85,94,6556920,0.14119601328903655,1
FAMILY,긴바지,라운드티,49,49,60,2322430,0.08139534883720931,2
FAMILY,다운/ 패딩,자켓/베스트,1,1,1,59000,0.09090909090909091,1
FAMILY,다운/ 패딩,맨투맨/후드티,1,1,1,49000,0.09090909090909091,2
FAMILY,등산화,등산화,22,22,24,2888520,0.10328638497652583,1
FAMILY,등산화,라운드티,8,8,9,329640,0.03755868544600939,2
FAMILY,라운드티,라운드티,171,171,203,8062730,0.1796218487394958,1
FAMILY,라운드티,긴바지,52,52,53,3738230,0.0546218487394958,2
FAMILY,맨투맨/후드티,맨투맨/후드티,5,5,5,295090,0.06493506493506493,1
FAMILY,맨투맨/후드티,라운드티,5,5,6,270210,0.06493506493506493,2
FAMILY,미드/롱다운,미드/롱다운,5,5,6,1886575,0.054945054945054944,1
FAMILY,미드/롱다운,자켓/베스트,3,3,3,169710,0.03296703296703297,2
FAMILY,바람막이,라운드티,15,15,19,748540,0.08982035928143713,1
FAMILY,바람막이,긴바지,14,14,14,809660,0.08383233532934131,2
FAMILY,반바지,라운드티,26,26,35,1420840,0.1145374449339207,1
FAMILY,반바지,긴바지,14,14,15,935350,0.06167400881057269,2
FAMILY,방수자켓,긴바지,4,4,4,249950,0.11428571428571428,1
FAMILY,방수자켓,하이킹,1,1,1,109710,0.02857142857142857,2
FAMILY,볼캡,가방,3,3,3,158830,0.04285714285714286,1
FAMILY,볼캡,볼캡,3,3,3,120080,0.04285714285714286,2
FAMILY,부츠,라운드티,2,2,2,85430,0.04878048780487805,1
FAMILY,부츠,긴바지,1,1,1,147500,0.024390243902439025,2
FAMILY,상의,라운드티,10,10,15,629340,0.08196721311475409,1
FAMILY,상의,상의,9,9,10,496370,0.07377049180327869,2
FAMILY,셋업,셋업,53,53,64,4392430,0.11804008908685969,1
FAMILY,셋업,긴바지,22,22,22,1387570,0.04899777282850779,2
FAMILY,셔츠,라운드티,5,5,5,152250,0.20833333333333334,1
FAMILY,셔츠,반바지,2,2,2,98800,0.08333333333333333,2
FAMILY,스니커즈,스니커즈,9,9,10,469800,0.21428571428571427,1
FAMILY,스니커즈,UNKNOWN,2,2,2,481450,0.047619047619047616,2
FAMILY,액세서리,액세서리,6,6,9,69830,0.05825242718446602,1
FAMILY,액세서리,라운드티,4,4,4,107730,0.038834951456310676,2
FAMILY,인터체인지 (3 in 1),하이킹,1,1,1,137000,0.07142857142857142,1
FAMILY,인터체인지 (3 in 1),등산화,1,1,1,100170,0.07142857142857142,2
FAMILY,자켓/ 베스트,라운드티,16,16,22,867520,0.06666666666666667,1
FAMILY,자켓/ 베스트,자켓/ 베스트,14,14,20,1557560,0.058333333333333334,2
FAMILY,자켓/베스트,라운드티,6,6,6,135980,0.08450704225352113,1
FAMILY,자켓/베스트,자켓/베스트,3,3,3,343600,0.04225352112676056,2
FAMILY,장갑,자켓/ 베스트,1,1,1,121610,0.03571428571428571,1
FAMILY,장갑,셋업,1,1,1,94440,0.03571428571428571,2
FAMILY,카고/조거,UNKNOWN,1,1,1,121200,0.09090909090909091,1
