member_grade_label,buyers,orders,quantity,revenue,aov,revenue_per_buyer,repeat_buyers,repeat_rate,repeat_revenue,repeat_revenue_share,coupon_order_rate,point_order_rate,promo_order_rate
FAMILY,38219,60174,81838,6097002281,101322.86836507461,159528.04314607917,10231,0.26769407886129937,3051499305,0.5004917440344976,0.6176587895104197,0.6925748662212916,0.0012796224282912885
SILVER,726,4080,7150,659148542,161556.01519607843,907918.1019283746,589,0.8112947658402204,578387937,0.8774773820253705,0.4387254901960784,0.7073529411764706,0.0014705882352941176
GOLD,51,637,1375,121833708,191261.70800627943,2388896.2352941176,45,0.8823529411764706,109958748,0.9025314078103902,0.34850863422291994,0.6295133437990581,0.0015698587127158557
TITANIUM,14,248,956,77508855,312535.7056451613,5536346.785714285,13,0.9285714285714286,70903305,0.9147768342081689,0.3467741935483871,0.6048387096774194,0.004032258064516129
