sku_bucket,orders,buyers,quantity,revenue,aov
1 SKU,52146,34272,54612,4744298498,90981.06274690293
2 SKU,9399,7310,20863,1288561854,137095.63293967443
3 SKU,2569,2175,8466,491934953,191488.88789412222
4 SKU 이상,1426,1089,7937,472172371,331116.66970546986
