member_grade_label,coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,aov
FAMILY,쿠폰 사용,2025년 12월 신규회원 5000원 할인 / ★ 단체 구매 10% 할인,포인트 미사용,일반 상품,1,1,7,1009800,1009800.0
FAMILY,쿠폰 사용,26년 신상품 50만원이상 5만원할인,포인트 사용,일반 상품,2,2,10,935370,467685.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 무료배송쿠폰(3만원미만 사용가능),포인트 사용,일반 상품,47,47,54,893460,19009.787234042553
FAMILY,쿠폰 사용,GNR 스페셜 20%,포인트 사용,일반 상품,21,21,25,886490,42213.80952380953
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 사용,일반 상품,2,2,2,855740,427870.0
FAMILY,쿠폰 사용,등급할인10% / 26년 신상품 40만원이상 4만원할인,포인트 미사용,일반 상품,2,2,4,844200,422100.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 1월 신규회원 5000원 할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,3,3,6,836380,278793.3333333333
FAMILY,쿠폰 사용,등급할인10% / 2026년 5월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,2,2,8,836340,418170.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,4,4,7,817920,204480.0
FAMILY,쿠폰 사용,25년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,4,4,8,808020,202005.0
FAMILY,쿠폰 미사용,"무료배송쿠폰(등급혜택, 3만원미만 사용가능)",포인트 미사용,일반 상품,32,32,34,794700,24834.375
FAMILY,쿠폰 사용,Winter Festival 15% (오후6시),포인트 사용,일반 상품,5,5,5,783025,156605.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 미사용,일반 상품,7,7,8,781830,111690.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202602 생일축하쿠폰1만원 / 2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,2,2,9,772200,386100.0
FAMILY,쿠폰 사용,25년 신상품 10만원이상 1만원할인 / 등급할인10%,포인트 미사용,일반 상품,6,6,10,771900,128650.0
FAMILY,쿠폰 사용,Winter Festival 20% (오후6시),포인트 사용,일반 상품,4,4,4,771380,192845.0
FAMILY,쿠폰 미사용,202512 생일축하쿠폰1만원,포인트 사용,일반 상품,19,19,22,768660,40455.78947368421
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 5월 신규회원 5000원 할인,포인트 사용,일반 상품,4,4,9,766310,191577.5
FAMILY,쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,3,3,6,756940,252313.33333333334
FAMILY,쿠폰 미사용,첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,16,16,22,756000,47250.0
FAMILY,쿠폰 사용,Winter Festival 10% (오후6시),포인트 사용,일반 상품,5,5,5,755280,151056.0
FAMILY,쿠폰 사용,Winter Festival 15% (오전10시),포인트 사용,일반 상품,6,6,6,752800,125466.66666666667
FAMILY,쿠폰 사용,등급할인10% / 2026년 4월 신규회원 5000원 할인 / GNR 스페셜 20%,포인트 사용,일반 상품,1,1,5,742080,742080.0
FAMILY,쿠폰 미사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,10,10,16,726290,72629.0
FAMILY,쿠폰 미사용,2025년 12월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 사용,일반 상품,11,11,18,720370,65488.181818181816
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 202603 생일축하쿠폰1만원,포인트 사용,일반 상품,8,8,9,693840,86730.0
FAMILY,쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 202602 생일축하쿠폰1만원,포인트 사용,일반 상품,6,6,6,683410,113901.66666666667
FAMILY,쿠폰 사용,2025년 11월 신규회원 5000원 할인 / Winter Festival 15% (오후6시),포인트 사용,일반 상품,3,3,3,671615,223871.66666666666
FAMILY,쿠폰 사용,2026년 5월 신규회원 5000원 할인,포인트 미사용,일반 상품,8,8,8,670000,83750.0
FAMILY,쿠폰 미사용,2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,9,9,10,669130,74347.77777777778
FAMILY,쿠폰 사용,25년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 미사용,일반 상품,2,2,2,658200,329100.0
FAMILY,쿠폰 미사용,202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,11,11,14,651900,59263.63636363636
FAMILY,쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인,포인트 미사용,일반 상품,1,1,4,648990,648990.0
FAMILY,쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 4월 신규회원 5000원 할인 / 등급할인10%,포인트 사용,일반 상품,3,3,6,648070,216023.33333333334
