coupon_flag,coupon_name,point_flag,promotion_flag,orders,buyers,quantity,revenue,coupon_amount,mileage_amount,promotion_amount,aov
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,36,36,46,7731350,1046150,109000,0,214759.72222222222
쿠폰 사용,첫 구매 장바구니 10% 할인 / 2026년 2월 신규회원 5000원 할인,포인트 미사용,일반 상품,61,61,67,7650262,1145698,0,0,125414.13114754099
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 사용,일반 상품,30,30,63,6329070,1044220,316110,0,210969.0
쿠폰 사용,등급할인10% / 26년 신상품 20만원이상 2만원할인,포인트 사용,일반 상품,27,27,52,6250910,1086300,278670,0,231515.1851851852
쿠폰 사용,25년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,39,39,73,5840860,390000,276940,0,149765.64102564103
쿠폰 사용,"신규회원 스페셜 5,000 / 첫 구매 장바구니 10% 할인",포인트 미사용,일반 상품,28,28,44,5690184,772246,0,0,203220.85714285713
쿠폰 사용,2026년 1월 신규회원 5000원 할인,포인트 사용,일반 상품,64,64,64,5622970,320000,255030,0,87858.90625
쿠폰 미사용,등급할인10%,포인트 사용,일반 상품,67,67,98,5414620,0,242180,0,80815.22388059701
쿠폰 사용,202512 생일축하쿠폰1만원,포인트 미사용,일반 상품,70,70,70,5209600,700000,0,0,74422.85714285714
쿠폰 사용,26년 신상품 10만원이상 1만원할인 / 등급할인20%,포인트 사용,일반 상품,45,41,50,5071280,1935000,627020,0,112695.11111111111
쿠폰 사용,202604 생일축하쿠폰1만원,포인트 사용,일반 상품,113,113,113,4854480,1130000,935620,0,42960.0
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202601 생일축하쿠폰1만원,포인트 사용,일반 상품,38,38,43,4734300,923700,159000,0,124586.84210526316
쿠폰 사용,2025년 12월 신규회원 5000원 할인,포인트 미사용,일반 상품,46,46,46,4648600,230000,0,0,101056.52173913043
쿠폰 사용,26년 신상품 30만원이상 3만원할인,포인트 사용,일반 상품,15,15,51,4555060,442380,177560,0,303670.6666666667
쿠폰 사용,첫 구매 장바구니 10% 할인 / 202512 생일축하쿠폰1만원,포인트 사용,일반 상품,27,27,31,4537900,787500,119600,0,168070.37037037036
쿠폰 사용,26년 신상품 30만원이상 3만원할인 / 등급할인10%,포인트 사용,일반 상품,14,14,33,4376620,774600,136780,0,312615.71428571426
쿠폰 사용,등급할인20%,포인트 사용,일반 상품,66,61,66,4021390,1228800,893810,0,60930.15151515151
쿠폰 사용,202511 생일축하쿠폰1만원,포인트 사용,일반 상품,57,57,57,3848970,570000,361830,0,67525.78947368421
쿠폰 사용,2026년 3월 신규회원 5000원 할인,포인트 사용,일반 상품,29,29,30,3756400,145000,87000,0,129531.03448275862
쿠폰 사용,2026년 2월 신규회원 5000원 할인,포인트 사용,일반 상품,38,38,38,3623179,190000,246380,0,95346.81578947368
쿠폰 사용,26년 신상품 40만원이상 4만원할인,포인트 사용,일반 상품,9,9,27,3578400,360000,195600,0,397600.0
쿠폰 사용,"첫 구매 장바구니 10% 할인 / 신규회원 스페셜 5,000",포인트 미사용,일반 상품,24,24,30,3483342,507038,0,0,145139.25
쿠폰 사용,등급할인10% / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,32,32,36,3434400,788900,0,0,107325.0
쿠폰 사용,202511 생일축하쿠폰1만원,포인트 미사용,일반 상품,40,40,40,3399600,400000,0,0,84990.0
쿠폰 사용,202601 생일축하쿠폰1만원,포인트 미사용,일반 상품,50,50,50,3329598,500000,0,0,66591.96
쿠폰 사용,등급할인10% / 26년 신상품 20만원이상 2만원할인,포인트 미사용,일반 상품,14,14,26,3311200,567600,0,0,236514.2857142857
쿠폰 사용,첫 구매 장바구니 10% 할인 / 등급할인10%,포인트 미사용,일반 상품,26,26,34,3299580,729020,0,0,126906.92307692308
쿠폰 사용,2025년 11월 신규회원 5000원 할인,포인트 사용,일반 상품,23,23,23,3287800,115000,80000,0,142947.8260869565
쿠폰 사용,26년 신상품 20만원이상 2만원할인 / 등급할인10%,포인트 미사용,일반 상품,15,15,25,3201660,572340,0,0,213444.0
쿠폰 사용,2026년 4월 신규회원 5000원 할인,포인트 사용,일반 상품,28,28,28,2837270,140000,66230,0,101331.07142857143
쿠폰 미사용,등급할인10%,포인트 미사용,일반 상품,27,27,37,2804300,0,0,0,103862.96296296296
쿠폰 사용,202602 생일축하쿠폰1만원,포인트 미사용,일반 상품,39,39,39,2778728,390000,0,0,71249.43589743589
쿠폰 사용,등급할인20% / 26년 신상품 10만원이상 1만원할인,포인트 사용,일반 상품,23,22,31,2773770,968400,241830,0,120598.69565217392
쿠폰 미사용,202601 생일축하쿠폰1만원,포인트 사용,일반 상품,36,36,53,2698968,0,266850,0,74971.33333333333
쿠폰 사용,2025년 11월 신규회원 5000원 할인 / 첫 구매 장바구니 10% 할인,포인트 미사용,일반 상품,13,13,15,2674620,362180,0,0,205740.0
