member_grade_label,product_code,product_name_kor,product_name,source_image_url,orders,buyers,quantity,revenue,rank_in_grade,image_url,image_source
TITANIUM,C66UU4597010,공용 트리플 캐니언 24L 백팩,Triple Canyon 24L Backpack,,2,2,20,2447200,6,assets/product_images/C66UU4597010.jpg,excel_map+downloaded
TITANIUM,C64YM3572027,남성 컬럼비아 락 다운 자켓,M's Columbia Rock Down Jacket,,2,2,5,2386570,7,assets/product_images/C64YM3572027.jpg,excel_map+downloaded
TITANIUM,C56YU8549010,공용 샙랜드3 처카 WP OHI,SAPLAND III CHUKKA WP OH INFINITY,,10,2,11,1440160,8,assets/product_images/C56YU8549010.jpg,excel_map+downloaded
TITANIUM,C66YU0367010,공용 레드우드 35L 백팩,REDWOOD35 BACKPACK,,3,1,8,1202000,9,assets/product_images/C66YU0367010.jpg,excel_map+downloaded
TITANIUM,C56YU2743010,공용 옐로우테일 쇼티 WP OH,YELLOWTAIL™ SHORTY WP OH,,9,1,9,1043680,10,assets/product_images/C56YU2743010.jpg,excel_map+downloaded
UNKNOWN,C71FM3447385,남성 PFG 바하마 엘리트 긴팔 셔츠,Bahama Elite LS Shirt,,3,3,3,267120,1,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71FM3447385.jpg,styleship_cdn_pattern
UNKNOWN,C72FM7047466,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,3,3,3,229300,2,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047466.jpg,styleship_cdn_pattern
UNKNOWN,C72FM7047317,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,3,3,3,218800,3,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047317.jpg,styleship_cdn_pattern
UNKNOWN,C72FM7047457,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,2,2,2,159760,4,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047457.jpg,styleship_cdn_pattern
UNKNOWN,C72FM7047162,공용 PFG 바하마 II 반팔 셔츠,Bahama II S/S Shirt,,2,2,2,154700,5,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM7047162.jpg,styleship_cdn_pattern
UNKNOWN,C72YM8596053,남성 엔조이 365 II 냉감 팬츠,M’s Enjoy 365 II Cool Pants,,1,1,1,152100,6,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72YM8596053.jpg,styleship_cdn_pattern
UNKNOWN,C75BM1935010,남성 PFG 프로 스포츠 레인 부츠,PFG PRO SPORT BOOT,,1,1,1,145600,7,assets/product_images/C75BM1935010.jpg,excel_map+downloaded
UNKNOWN,C75BI9168010,남성 픽프릭 러쉬 아웃드라이 와이드,PEAKFREAK RUSH OUTDRY WIDE,,1,1,1,136780,8,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BI9168010.jpg,styleship_cdn_pattern
UNKNOWN,C72FM5353029,[공식몰 단독] 남성 PFG 프로 가이드 팬츠,PFG Pro Guide Pant,,1,1,1,133350,9,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C72FM5353029.jpg,styleship_cdn_pattern
UNKNOWN,C75BL0341011,여성 픽프릭 러쉬 샌들,PEAKFREAK RUSH SHANDAL,,1,1,1,107600,10,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C75BL0341011.jpg,styleship_cdn_pattern
