product_code,product_name_kor,product_name,source_image_url,repeat_orders,repeat_buyers,avg_days_since_prev_order,quantity,revenue,image_url,image_source,repeat_rate
C62YL3595330,여성 엔조이365 방풍 자켓,W’s Enjoy 365 Wind Jacket,,3,3,4.333333333333333,3,394730,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62YL3595330.jpg,styleship_cdn_pattern,1.0
C46BM6578063,남성 몬트레일 트리니티 FKT,MONTRAIL TRINITY FKT,,4,4,1.25,4,394200,assets/product_images/C46BM6578063.jpg,styleship_cdn_pattern+downloaded,1.0
C62YL6534105,여성 스콧 리버 OFZI+ 크루,W's Scotts River OFZI+ Crew,,9,8,3.2222222222222223,9,393680,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62YL6534105.jpg,styleship_cdn_pattern,0.8888888888888888
C56YM0696231,공용 다운 투 다크 트래퍼,Dawn-to-Dark™Ⅱ TRAPPER,,7,6,2.9999999999999996,7,393290,assets/product_images/C56YM0696231.jpg,styleship_cdn_pattern+downloaded,0.8571428571428571
C64WE4925278,남성 하이 캐스케이드 셔츠 자켓,High Cascades Shirt Jacket,,3,3,4.333333333333333,3,392860,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64WE4925278.jpg,styleship_cdn_pattern,1.0
C62YM6525346,[추영우 착용] 남성 다나 코브 OFZ ICE+ 크루 티셔츠,M's Dana Cove OFZ ICE+ Crew,,6,6,3.8333333333333335,6,392230,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C62YM6525346.jpg,styleship_cdn_pattern,1.0
C55YM0199105,남성 이스케이프 쓰라이브 울트라 아웃드라이 보아2,ESCAPE™ THRIVE ULTRA™ OUTDRY™ BOA II,,3,3,4.666666666666667,3,390290,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C55YM0199105.jpg,styleship_cdn_pattern,1.0
C45YU5529100,공용 호쏜 레인 로우 III,HAWTHORNE™ RAIN LO III WATERPROOF,,8,7,3.125,8,390000,assets/product_images/C45YU5529100.jpg,styleship_cdn_pattern+downloaded,0.875
C64YM3583035,공용 롤링 콘 롱 다운 자켓,M's Rolling Cone Long Down Jacket,,1,1,7.0,1,389970,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64YM3583035.jpg,styleship_cdn_pattern,1.0
C64YL3588010,여성 앤 로드 미드 경량 다운 자켓,W's Anne Road Mid Down Jacket,,3,3,4.333333333333334,3,388500,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C64YL3588010.jpg,styleship_cdn_pattern,1.0
