date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes
2026-02-13,natgeo,National Geographic,2,"지구, 경이로운 행성",https://natgeokorea.com/program.php?p=176,https://natgeokorea.com/program.php?p=176,,,https://www.natgeokorea.com/assets/img/ar-left.png,natgeo_3_d895b5fda6.jpg,ok,20,36,293
2026-02-13,kolonsport,Kolon Sport,1,공식 온라인몰 사칭 사이트 주의 안내,https://www.kolonsport.com/Notice/725?itm_bc=PC_3099_%ED%99%88&itm_ba=2_d9f10_LineBanner_%EC%B5%9C%EC%83%81%EB%8B%A8%20%EB%9D%A0%EB%B0%B0%EB%84%88&itm_bl=%EC%BD%94%EC%8A%A4%EB%8B%B7%EC%BB%B4_%EA%B3%B5%EC%8B%9D%20%EC%98%A8%EB%9D%BC%EC%9D%B8%EB%AA%B0%20%EC%82%AC%EC%B9%AD%20%EC%82%AC%EC%9D%B4%ED%8A%B8%20%EC%A3%BC%EC%9D%98%20%EC%95%88%EB%82%B4_260126,https://www.kolonsport.com/Notice/725?itm_bc=PC_3099_%ED%99%88&itm_ba=2_d9f10_LineBanner_%EC%B5%9C%EC%83%81%EB%8B%A8+%EB%9D%A0%EB%B0%B0%EB%84%88&itm_bl=%EC%BD%94%EC%8A%A4%EB%8B%B7%EC%BB%B4_%EA%B3%B5%EC%8B%9D+%EC%98%A8%EB%9D%BC%EC%9D%B8%EB%AA%B0+%EC%82%AC%EC%B9%AD+%EC%82%AC%EC%9D%B4%ED%8A%B8+%EC%A3%BC%EC%9D%98+%EC%95%88%EB%82%B4_260126,,,https://images3.kolonmall.com/upload/content/e34f8f2b-52cb-4ac5-83a3-3bdbcd7d464b/WM_logo_3.svg,kolonsport_1_d26c2d5b4a.jpg,ok,0,0,6684
2026-02-13,kolonmall,Kolon Mall,1,메인 배너,https://www.kolonmall.com/Special/252463,https://www.kolonmall.com/Special/252463,2026-02-09,2026-02-18,https://images3.kolonmall.com/upload/banner/815f669e-9a69-4c71-a2b6-a9e26ada78bf/4431528f-5416-42c2-b2e9-60969e8fdf9c.jpg,kolonmall_1_dee0def300.jpg,ok,750,1000,75566
2026-02-13,kolonmall,Kolon Mall,2,해외 브랜드 설맞이 특가,https://www.kolonmall.com/Special/252694,https://www.kolonmall.com/Special/252694,,,https://images3.kolonmall.com/upload/banner/bea8661d-e1ab-4a62-aa4f-8463a8a4f428/651a2afa-6d98-45bd-9be5-21dcfae474c0.jpg,kolonmall_2_73a3ba728b.jpg,ok,750,1000,94855
2026-02-13,kolonmall,Kolon Mall,3,품격을 더하는 미니멀리즘,https://www.kolonmall.com/Special/252409,https://www.kolonmall.com/Special/252409,,,https://images3.kolonmall.com/upload/banner/0343b15a-7098-4ca8-945c-3fb0ff1ba691/a8928377-3023-4f49-8724-d1d62dc03dcd.webp,kolonmall_3_fb54337bf3.jpg,ok,750,1000,142310
2026-02-13,k2,K-Village,1,메인 배너,javascript:void(0),javascript:void(0),,,https://contents.k-village.co.kr/VSL_con/20260129/img/1769643150708.gif/k2dims/optimize,k2_1_d12c319649.jpg,ok,1100,401,36889
2026-02-13,montbell,Montbell,1,메인 배너,https://www.montbell.co.kr/shop/event.php?ev_id=1768962440,https://www.montbell.co.kr/shop/event.php?ev_id=1768962440,,,https://www.montbell.co.kr/data/apms/background/2601_1920x800_Granola-Core.jpg,montbell_1_16fac001ac.jpg,ok,1100,458,79222
2026-02-13,montbell,Montbell,2,메인 배너,https://www.montbell.co.kr/shop/event.php?ev_id=1761109413,https://www.montbell.co.kr/shop/event.php?ev_id=1761109413,,,https://www.montbell.co.kr/data/apms/background/2510_1920x800_superior_down.jpg,montbell_2_4662365db5.jpg,ok,1100,458,74168
2026-02-13,montbell,Montbell,3,메인 배너,https://www.montbell.co.kr/shop/event.php?ev_id=1761008866,https://www.montbell.co.kr/shop/event.php?ev_id=1761008866,,,https://www.montbell.co.kr/data/apms/background/2510_1920x800_down_g.jpg,montbell_3_56a1e68a05.jpg,ok,1100,458,68436
2026-02-13,eider,Eider,1,걷는게 취미가 된다,https://www.k-village.co.kr/exhibitionDetail?spexhNo=2362,https://www.k-village.co.kr/exhibitionDetail?spexhNo=2362,,,https://static.eider.co.kr/2026/02/D4L7XC-%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C.jpg?w=1440&q=80&f=webp,eider_1_c1f6801167.jpg,ok,1100,1650,265037
2026-02-13,eider,Eider,2,활동별 추천 #1,https://www.eider.co.kr/activity/G1MPBV,https://www.eider.co.kr/activity/G1MPBV,,,https://static.eider.co.kr/89HD12-7.png?w=640&q=80&f=webp,eider_2_7bc76fd640.jpg,ok,640,1142,140699
2026-02-13,millet,Millet,1,설맞이,https://www.millet.co.kr/front/promo/event/296,https://www.millet.co.kr/front/promo/event/296,2026-02-06,2026-02-18,https://www.millet.co.kr/data/banner/Y9KnBC3L.sknawwqa0mk1.jpg,millet_1_5a138f9f98.jpg,ok,1100,451,61695
2026-02-13,millet,Millet,2,mxp 컬렉션,https://www.millet.co.kr/front/promo/event/299,https://www.millet.co.kr/front/promo/event/299,2026-02-12,2026-02-22,https://www.millet.co.kr/data/banner/Y9KnBC3L.s4xxoq6kla3n.jpg,millet_2_21f842f8c7.jpg,ok,1100,451,44258
2026-02-13,millet,Millet,3,콜드제로 시테,https://www.millet.co.kr/front/promo/event/292,https://www.millet.co.kr/front/promo/event/292,2026-01-06,2026-02-28,https://www.millet.co.kr/data/banner/Y9KnBC3L.s506aov2a81f.jpg,millet_3_77051f5ba0.jpg,ok,1100,451,127438
