date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,img_signature,brand_resolved_url,extract_source,confidence_score,is_fallback,is_primary_hero,landing_title,landing_subtitle,landing_summary,landing_keywords,landing_category,landing_text_status
2026-09-10,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005001000000,https://www.patagonia.co.kr/shop/goodsList/001005001000000,,,https://patagonia.edge.naverncp.com/banner/PhotoshopExtension_Image%20%2821%29.jpeg,patagonia_1_c72bbdd3c5.jpg,ok,1100,618,109324,5b7ff82eaacd0fbe,https://www.patagonia.co.kr/,patagonia_static_hero,0.94,0,1,"새로운 계절, 자연으로 나설 준비",Some stories to get you out there.,"파타고니아코리아 온라인 스토어, 환경과 사회에 대한 책임 기업",,,ok
2026-09-10,arcteryx,Arc'teryx,1,INTRODUCING THE SPERRO SV,https://arcteryx.co.kr/products/view/686769,https://arcteryx.co.kr/products/view/686769,,,https://arcteryx.co.kr/img/main/hero-sperro-full-logo.svg,arcteryx_1_0c04ddc32b.jpg,ok,0,0,3431,dc922a152a6b4037,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,아크테릭스코리아 : 스페로 SV 재킷 남성 0,상품 정보 및 제공 고시,"혁신적인 고기능 아웃도어 제품을 다루는 캐나다 밴쿠버에서 시작된 아웃도어 브랜드입니다. 알파인, 클라이밍, 하이킹, 트레일 러닝, 스키, 스노보드 등 다양한 액티비티를 위한 의류, 장비, 라이프스타일 아이템을 제공합니다.","재킷, 고기능성",러닝,ok
2026-09-10,arcteryx,Arc'teryx,2,THE REVOLUTION IS CIRCULAR,https://arcteryx.co.kr/system-0/,https://arcteryx.co.kr/system-0/,,,https://public.arcteryx.co.kr/images/banner/f8u6axbfoXzpjJ58inJssPEOWzfqR07S2SWnqvh0.png,arcteryx_2_d18f51e776.jpg,ok,752,1004,81681,ee04b67fed1b5e63,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-10,arcteryx,Arc'teryx,3,NEW ARRIVALS,https://arcteryx.co.kr/products/category/223,https://arcteryx.co.kr/products/category/223,,,https://public.arcteryx.co.kr/images/banner/SBOxGZvPfuTU0Rd7dgFd39KcvytM2J36fnZHPwVt.webp,arcteryx_3_08dff03e52.jpg,ok,792,1056,269930,53babd7d2b2dbd09,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-10,salomon,Salomon,1,GREY HOURS,https://salomon.co.kr/collections/ftw_26fw_xt-korea,https://salomon.co.kr/collections/ftw_26fw_xt-korea,,,https://salomon.co.kr/cdn/shop/files/2880x1120_PC_2_6494f2e7-dbc7-4ccd-81ce-99004695b8f4_180x.jpg?v=1788915344,salomon_1_7656485c2f.jpg,ok,180,70,3542,450a129db6475c8b,https://salomon.co.kr/,hero_slider_container,0.88,0,1,XT-KOREA – Salomon Korea,© 2026 Playing in the French Alps since 1947,"1947년 이래로 아웃도어 역사에 한 획을 그은 'NO. 1 아웃도어 브랜드' 살로몬. 하이킹, 트레일러닝, 로드러닝, 스포츠스타일까지 혁신을 통해 발전시켜온 기술력과 세대를 넘나드는 히스토리가 담긴 살로몬의 모든 상품을 새로운 공식 온라인스토어를 통해 만나보실 수 있습니다.","자켓, 신발",러닝,ok
2026-09-10,salomon,Salomon,2,Salomon Korea,https://salomon.co.kr/pages/membership,https://salomon.co.kr/pages/membership,,,https://salomon.co.kr/cdn/shop/files/SALOMON_logo_500x.png?v=1687134649,salomon_1_d8c3ccc324.jpg,ok,309,38,724,f888ea03daede150,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-10,salomon,Salomon,3,WE ARE SHAPERS​,https://salomon.co.kr/pages/cross-insulation,https://salomon.co.kr/pages/cross-insulation,,,https://salomon.co.kr/cdn/shop/files/2880x1120_PC_2_5bd10c91-06a5-43c4-8419-bb7675669556_180x.jpg?v=1788482128,salomon_2_40fc3e0b9c.jpg,ok,180,70,4835,160616c48ecd7190,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-09-10,salomon,Salomon,4,하이킹 아우터,https://salomon.co.kr/,https://salomon.co.kr/,,,https://salomon.co.kr/cdn/shop/files/dsad_1.png?v=1788911911,salomon_2_bbdb216102.jpg,ok,800,600,165168,fbfa1ac7a29c4251,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-10,salomon,Salomon,5,SHAPED. SHIFTED.EVOLVED.,https://salomon.co.kr/collections/26fw_ftw_xt-evo,https://salomon.co.kr/collections/26fw_ftw_xt-evo,,,https://salomon.co.kr/cdn/shop/files/2880x1120_PC_1_25411265-34e7-4d69-be12-51be4d6b1e4a_180x.jpg?v=1788311893,salomon_3_18ab673863.jpg,ok,180,70,2032,3b5e159f50075c20,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-09-10,salomon,Salomon,6,THE LIGHT WAY OUT,https://salomon.co.kr/collections/26_app_modyssey,https://salomon.co.kr/collections/26_app_modyssey,,,https://salomon.co.kr/cdn/shop/files/2880x1120_PC_2_180x.jpg?v=1787531984,salomon_4_3d564690f2.jpg,ok,180,70,3699,35f655a4e8fde929,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
