date,brand_key,brand_name,rank,title,href,img_url,img_local
2026-02-03,tnf,The North Face,1,Early_Bird_Package_main_mc.jpg,https://www.thenorthfacekorea.co.kr/tnf100,https://image.thenorthfacekorea.co.kr/cmsstatic/Early_Bird_Package_main_mc.jpg,tnf_1_6e45f5068c.jpg
2026-02-03,tnf,The North Face,2,KALIX T JACKET 어떤 하루에도 어울리는 패딩을 완성하다,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92952,https://image.thenorthfacekorea.co.kr/cmsstatic/260100_칼릭스자켓_기획전_main_banner_pc.webp,tnf_2_5cb11a9cf4.jpg
2026-02-03,tnf,The North Face,3,NEW YEAR NEW BACKPACK 새로운 시작을 위한 노스페이스 백팩 컬렉션,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92946,https://image.thenorthfacekorea.co.kr/cmsstatic/main_banner_PC_화라백팩.webp,tnf_3_162f113689.jpg
2026-02-03,nepa,NEPA,1,251226_main_slidebanner_dt.jpg,https://www.nplus.co.kr/promotion/view.asp?EventNo=679,https://assetscdn51.styleship.com/assets/nplus/data/Banner/251226_main_slidebanner_dt.jpg,nepa_1_95592893a5.jpg
2026-02-03,patagonia,Patagonia,1,NewArrivals_banner.jpg,https://www.patagonia.co.kr/shop/goodsList/001005001000000,https://patagonia.edge.naverncp.com/banner/NewArrivals_banner.jpg,patagonia_1_413aac7c69.jpg
2026-02-03,blackyak,Black Yak,1,함께하는 병오년! 첫 가격인하 #특가찬스#가격인하 2026.01.06(TUE) ~,https://www.byn.kr/_exh/?no=1886,https://cdn.byn.kr/real/_data/banner/0e4594f946dff0d8e5dd7d07922a1924.jpg,blackyak_1_a56950360e.jpg
2026-02-03,blackyak,Black Yak,2,"2026 스페 ""설"" 이벤트 빠르게 찾아온 설 명절 혜택 인기템 구매하고 명절 혜택까지 15만원 이상 구매 시 사각방석 증정",https://www.byn.kr/_exh/?no=2047,https://cdn.byn.kr/real/_data/banner/77025c37d77b18f38c308f79fa7320bb.jpg,blackyak_2_c89f9ed162.jpg
2026-02-03,blackyak,Black Yak,3,"당신의 리얼 구매 후기를 기다립니다! BEST 포토 리뷰 10,000P 신발 한달 사용 리뷰 2,000P 추가 2026.02.02(MON) ~ 종료시까지",https://www.byn.kr/_exh/?no=2044,https://cdn.byn.kr/real/_data/banner/10597b57170a4dcbd258a7624ed1a9af.jpg,blackyak_3_8d33cbf4b6.jpg
