member_grade_label,first_category,second_category,transition_buyers,second_orders,quantity,revenue,transition_rate,avg_days_to_second,median_days_to_second,suggested_send_day,recommendation_score,rank_in_grade
FAMILY,남성,남성,5328,5328,7064,405421308,0.707100199071002,132.46471471471472,74,67,74672.10753673063,1
FAMILY,여성,남성,586,586,780,39539753,0.4928511354079058,130.4539249146758,64,57,5052.113910397745,2
FAMILY,라운드티,남성,454,454,584,31879158,0.47639034627492133,184.39647577092515,133,126,3736.790734703408,3
FAMILY,긴바지,남성,307,307,398,26317306,0.5159663865546219,187.08469055374593,133,126,2706.409510427637,4
FAMILY,셋업,남성,231,231,298,18473291,0.5121951219512195,145.64069264069266,89,82,1979.6619318835699,5
FAMILY,여성,여성,326,326,378,33158528,0.27417998317914216,120.92638036809815,61,54,1547.8228389587507,6
FAMILY,UNKNOWN,남성,143,143,176,11013830,0.6271929824561403,147.0909090909091,79,72,1454.2703136458024,7
FAMILY,등산화,남성,125,125,163,8455180,0.5952380952380952,128.136,62,55,1186.7775258583997,8
FAMILY,자켓/ 베스트,남성,128,128,163,9259415,0.5541125541125541,152.68749999999997,77,70,1137.7412415295728,9
FAMILY,하이킹,남성,127,127,155,10343505,0.5474137931034483,153.20472440944883,93,86,1122.903026793704,10
FAMILY,가방,남성,94,94,264,15036313,0.6351351351351351,177.86170212765958,128,121,986.6455971771854,11
FAMILY,반바지,남성,117,117,141,7609109,0.5109170305676856,182.25641025641028,134,127,947.1626390685117,12
FAMILY,바람막이,남성,93,93,129,7170365,0.5602409638554217,141.55913978494624,102,95,822.4608813757308,13
FAMILY,남성,여성,557,557,632,52640360,0.07392169873921699,136.80969479353683,78,71,732.0391529288368,14
FAMILY,액세서리,남성,65,65,89,3506283,0.5963302752293578,139.15384615384616,77,70,584.1379314987877,15
FAMILY,라운드티,라운드티,171,171,204,8076730,0.1794333683105981,80.73099415204678,34,27,487.9993906356344,16
FAMILY,미드/롱다운,남성,52,52,65,4427580,0.5842696629213483,176.86538461538464,106,99,464.94714721874436,17
FAMILY,상의,남성,58,58,71,3730390,0.4793388429752066,160.2241379310345,121,114,420.6952680190792,18
FAMILY,볼캡,남성,42,42,58,3455833,0.6086956521739131,135.0,58,51,384.8990318566482,19
FAMILY,맨투맨/후드티,남성,44,44,54,3236840,0.5569620253164557,110.38636363636365,73,66,367.3525302014718,20
GOLD,남성,남성,25,25,61,7448510,0.7142857142857143,66.4,17,10,282.56294115371617,1
GOLD,라운드티,남성,6,6,13,926260,0.5454545454545454,47.66666666666667,3,3,44.96370981174121,2
GOLD,긴바지,남성,4,4,5,552950,0.6666666666666666,50.5,3,3,35.26139911728973,3
GOLD,여성,남성,5,5,7,418910,0.5,71.19999999999999,22,15,32.36353441460194,4
GOLD,바람막이,남성,2,2,2,54980,0.6666666666666666,146.0,22,15,14.552990599981316,5
GOLD,UNKNOWN,남성,1,1,3,1560100,1.0,371.0,371,364,14.260261120719688,6
GOLD,부츠,남성,1,1,3,1560100,1.0,371.0,371,364,14.260261120719688,7
GOLD,볼캡,남성,1,1,2,302400,1.0,0.0,0,3,12.619509230160354,8
GOLD,셔츠,남성,1,1,2,225510,1.0,138.0,138,131,12.326124217222945,9
GOLD,반바지,남성,1,1,2,225510,1.0,138.0,138,131,12.326124217222945,10
GOLD,여성,여성,3,3,5,379680,0.3,66.0,24,17,11.562378034916705,11
GOLD,등산화,여성,1,1,1,95500,1.0,24.0,24,17,11.466891997618188,12
GOLD,셋업,긴바지,1,1,1,62300,1.0,64.0,64,57,11.03973275601109,13
GOLD,자켓/ 베스트,남성,1,1,2,248920,0.5,3.0,3,3,6.212445428015029,14
GOLD,상의,셋업,1,1,1,137820,0.5,25.0,25,18,5.916855510362914,15
GOLD,자켓/ 베스트,등산화,1,1,1,110680,0.5,3.0,3,3,5.807203734458032,16
GOLD,상의,남성,1,1,1,103730,0.5,25.0,25,18,5.774778144396008,17
GOLD,라운드티,라운드티,2,2,3,136210,0.18181818181818182,82.5,40,33,4.298894702916114,18
GOLD,장갑,남성,1,1,2,90660,0.3333333333333333,80.0,80,73,3.8049608515522726,19
GOLD,장갑,셋업,1,1,1,83510,0.3333333333333333,80.0,80,73,3.777577879563133,20
SILVER,남성,남성,339,339,585,55743740,0.6494252873563219,80.54867256637166,31,24,3926.7483503999374,1
SILVER,여성,여성,33,33,48,5685405,0.375,97.03030303030302,45,38,192.47348709546964,2
SILVER,여성,남성,33,33,58,5084830,0.375,80.6969696969697,23,16,191.09193285485637,3
SILVER,라운드티,남성,24,24,36,3726950,0.4067796610169492,111.125,89,82,147.72057955757947,4
SILVER,긴바지,남성,21,21,36,3441796,0.4117647058823529,149.66666666666669,72,65,130.1512428630187,5
SILVER,UNKNOWN,남성,12,12,24,2476850,0.7058823529411765,103.08333333333333,4,3,124.70822303930109,6
SILVER,셋업,남성,17,17,24,2509065,0.38636363636363635,112.05882352941177,43,36,96.78492515131161,7
SILVER,자켓/ 베스트,남성,13,13,25,2670570,0.38235294117647056,28.307692307692307,22,15,73.5537848299152,8
SILVER,맨투맨/후드티,남성,7,7,13,1908690,0.7,157.0,183,176,70.86344830130268,9
SILVER,등산화,남성,9,9,15,1565220,0.5294117647058824,102.44444444444444,50,43,67.96156143938674,10
SILVER,미드/롱다운,남성,8,8,11,2595470,0.5,144.25,31,24,59.07711424401057,11
SILVER,남성,여성,44,44,57,7920670,0.0842911877394636,113.4090909090909,42,35,58.91443262446948,12
SILVER,긴바지,긴바지,14,14,18,1548820,0.27450980392156865,53.92857142857142,18,11,54.77625279690545,13
SILVER,하이킹,남성,8,8,11,832060,0.36363636363636365,102.125,53,46,39.655741191050055,14
SILVER,볼캡,남성,3,3,3,139800,1.0,78.33333333333333,41,34,35.543925785496256,15
SILVER,셔츠,남성,4,4,5,264350,0.5714285714285714,44.0,12,5,28.537218387474443,16
SILVER,바람막이,남성,5,5,6,462670,0.4166666666666667,24.4,24,17,27.17660728610657,17
SILVER,반바지,남성,5,5,8,783900,0.38461538461538464,109.8,90,83,26.100073107401766,18
SILVER,셋업,여성,9,9,11,1322970,0.20454545454545456,84.66666666666667,37,30,25.948332553663654,19
SILVER,반바지,긴바지,5,5,6,413090,0.38461538461538464,79.6,49,42,24.86812151279837,20
TITANIUM,남성,남성,12,12,178,8171030,0.7058823529411765,60.66666666666666,7,3,134.81877728977346,1
TITANIUM,셋업,남성,3,3,8,1042600,0.375,178.33333333333334,8,3,15.58938274926333,2
TITANIUM,카고/조거,남성,1,1,5,695000,1.0,523.0,523,516,13.451668563394815,3
TITANIUM,긴바지,남성,1,1,2,138000,1.0,78.0,78,71,11.835016210489899,4
TITANIUM,바람막이,남성,1,1,1,27200,1.0,7.0,7,3,10.211009016314167,5
TITANIUM,UNKNOWN,남성,1,1,1,19600,1.0,11.0,11,4,9.883335864325275,6
TITANIUM,셋업,셋업,2,2,4,529500,0.25,6.0,4,3,6.5898451662979705,7
TITANIUM,하이킹,셋업,1,1,1,132300,0.5,8.0,8,3,5.896417454326734,8
TITANIUM,하이킹,남성,1,1,1,125300,0.5,8.0,8,3,5.869237060849141,9
TITANIUM,남성,셋업,2,2,4,529500,0.11764705882352941,6.0,4,3,3.101103607669633,10
TITANIUM,반바지,셋업,1,1,3,397200,0.2,4.0,4,3,2.57843954575467,11
TITANIUM,반바지,인터체인지 (3 in 1),1,1,1,395000,0.2,4.0,4,3,2.577328715105125,12
TITANIUM,반바지,남성,1,1,2,222300,0.2,4.0,4,3,2.462357519673544,13
TITANIUM,반바지,여성,1,1,1,71200,0.2,4.0,4,3,2.234652428449052,14
TITANIUM,반바지,긴바지,1,1,1,53000,0.2,4.0,4,3,2.175613212056158,15
TITANIUM,셋업,인터체인지 (3 in 1),1,1,1,395000,0.125,4.0,4,3,1.610830446940703,16
TITANIUM,셋업,여성,1,1,1,71200,0.125,4.0,4,3,1.3966577677806573,17
TITANIUM,셋업,긴바지,1,1,1,53000,0.125,4.0,4,3,1.3597582575350988,18
TITANIUM,남성,인터체인지 (3 in 1),1,1,1,395000,0.058823529411764705,4.0,4,3,0.7580378573838603,19
TITANIUM,남성,여성,1,1,1,71200,0.058823529411764705,4.0,4,3,0.657250714249721,20
