product_code,product_name_kor,product_size,product_color,orders,buyers,quantity,revenue
C75YU0372010,공용 본레 포레스트 패커블 드로우 경량 백팩,20L,010,38,38,38,2639460
C64XM9802225,[스타워즈] 남성 제네럴 한 솔로 트렌치 인터체인지 코트,L,225,3,3,3,2637620
C65PU8721030,공용 타이거 브룩 40L 트래블 백팩,OS,030,17,17,17,2635500
C54YM3472211,남성 마운틴 후드™ 다운 자켓,110,211,8,8,8,2634480
C55YU5270349,공용 호쏜 레인 로우 옴니테크 방수 스니커즈,260,349,30,30,30,2634380
C63XM8484254,[스타워즈] 남성 엔도어 이슈 카고 자켓,L,254,9,9,9,2633110
C54YM3476319,남성 샷오버 힐™ 경량 패딩 자켓,110,319,19,19,19,2630323
C64YL3583035,여성 패스 대쉬 포레스트Ⅲ 다운 자켓,95,035,6,6,6,2628270
C54YM3489043,남성 밸리 투 패스™ 헤비 다운 자켓,95,043,10,10,10,2627850
C66YU0398010,공용 365 트랙 20L 백팩,20L,010,29,29,29,2619930
C46BK4552008,여성 뉴튼릿지 플러스 와이드핏,240,008,43,43,43,2613200
C66PU8664010,공용 케슬락 15L 백팩,OS,010,40,40,41,2611390
C65BM7679202,남성 뉴튼릿지 베이스캠프,270,202,31,31,31,2611250
C54YL3482105,여성 클라우드 비치 롱 다운 자켓,95,105,9,9,9,2610850
C56BK9165012,여성 스노우트롯 미드 와이드 부츠,240,012,26,25,26,2609240
C53WE2939010,남성 아웃드라이 익스트림™ 와일드우드 방수 자켓,L,010,17,16,17,2605280
C56YM0696010,공용 다운 투 다크 트래퍼,59,010,52,52,52,2587570
C64YL3587105,여성 유니온 리버 다운 자켓,95,105,12,12,12,2586500
C54YM8496211,남성 하이크 보울 코브™ 플리스 조거 팬츠,80,211,31,30,31,2586120
C66YU9626010,공용 샙랜드4 워터프루프 옴니히트,290,010,16,16,16,2582950
C64YM3574027,[추영우 착용] 남성 마운틴 후드 다운 자켓,110,027,5,5,5,2582440
C44AE2155460,[공식몰 단독] 공용 백볼™ 리마스터드 플리스 자켓,L,460,37,36,40,2581440
C64XE9996010,남성 타임 투 트레일 옴니히트 팬츠,L,010,22,22,23,2577290
C54WM3476191,공용 파우더케그 인터체인지 봄버 자켓,L,191,9,9,9,2574230
C66YM9726MUL,남성 컬럼비아 미드 컬러 양말 5종,26,MUL,106,106,111,2572810
C55YU5270010,공용 호쏜 레인 로우 옴니테크,280,010,28,27,28,2567790
C54AE3788010,남성 마블 캐니언™ 오버레이 후디 티셔츠,M,010,59,59,59,2563070
C54YM8478010,남성 마운틴 후드™ 인슐레이션 스트레이트 팬츠,85,010,20,20,21,2561940
C55YU0633011,공용 롤링 코브™ Ⅱ 캡,OS,011,77,75,77,2556980
C66YU9626286,공용 샙랜드4 워터프루프 옴니히트,260,286,16,16,16,2556580
C46RMS252AS1,남성 노르딕페어아일 보온양말 2팩,L,AS1,298,280,437,2551330
C54WR9860010,여성 로로 패스 인터체인지 자켓,XL,010,12,12,12,2550150
C54XM8729193,[DISNEY] 남성 미키와 친구들 하프 스냅 플리스,M,193,23,23,23,2547380
