코드,상품명(영문),상품명(한글),공식몰가,네이버최저가,가격차이,최저가몰,링크,이미지URL,공식이미지URL,네이버이미지URL,naver_title,confidence,top3,prev_naver,delta_naver
C71YM6611375,M's Pines to Avenue L/S Crew,남성 파인 에비뉴 크루넥 긴팔 티셔츠,99000,98990,10,무신사,https://link.musinsa.com/app/goods/5956671?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/productimages/a/1/C71YM6611375.jpg,https://assetscdn49.styleship.com/assets/columbia/data/productimages/a/1/C71YM6611375.jpg,https://shopping-phinf.pstatic.net/main_5872856/58728561079.jpg,[컬럼비아] 남성 파인 에비뉴 크루넥 긴팔 티셔츠 C71YM6611375,3,"[{""lprice"": 98990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5956671?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13036930274""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/13036753294""}]",98990,0
C71YM6611023,M's Pines to Avenue L/S Crew,남성 파인 에비뉴 크루넥 긴팔 티셔츠,99000,98990,10,무신사,https://link.musinsa.com/app/goods/5956675?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM6611023.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C71YM6611023.jpg,https://shopping-phinf.pstatic.net/main_5872856/58728566832.jpg,[컬럼비아] 남성 파인 에비뉴 크루넥 긴팔 티셔츠 C71YM6611023,3,"[{""lprice"": 98990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5956675?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13036927953""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/13036754127""}]",98990,0
C71YM6604035,M's First Range Half Zip Up,남성 퍼스트 레인지 하프 집업,119000,118990,10,무신사,https://link.musinsa.com/app/goods/5938129?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/c/4/C71YM6604035.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/c/4/C71YM6604035.jpg,https://shopping-phinf.pstatic.net/main_5868997/58689975500.jpg,[컬럼비아] 남성 퍼스트 레인지 하프 집업 C71YM6604035,3,"[{""lprice"": 118990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5938129?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 119000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""http://www.columbiakorea.co.kr/product/view.asp?pno=21270""}, {""lprice"": 119000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13022340053""}]",118990,0
C71YM6604010,M's First Range Half Zip Up,남성 퍼스트 레인지 하프 집업,119000,118990,10,무신사,https://link.musinsa.com/app/goods/5938131?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/d/1/C71YM6604010.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/d/1/C71YM6604010.jpg,https://shopping-phinf.pstatic.net/main_5868996/58689964478.jpg,[컬럼비아] 남성 퍼스트 레인지 하프 집업 C71YM6604010,3,"[{""lprice"": 118990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5938131?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 119000, ""mallName"": ""네이버"", ""link"": ""https://search.shopping.naver.com/catalog/58739475898""}, {""lprice"": 119000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13022335789""}]",118990,0
C71YM3613397,M's Pines to Avenue Insulation Jacket,남성 파인 에비뉴 인슐레이션 자켓,249000,248990,10,무신사,https://link.musinsa.com/app/goods/5890636?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/1/C71YM3613397.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/b/1/C71YM3613397.jpg,https://shopping-phinf.pstatic.net/main_5858979/58589795735.jpg,[컬럼비아] 남성 파인 에비뉴 인슐레이션 자켓 C71YM3613397,3,"[{""lprice"": 248990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5890636?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 249000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12963931439""}, {""lprice"": 249000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/12963743799""}]",248990,0
C71YM3613011,M's Pines to Avenue Insulation Jacket,남성 파인 에비뉴 인슐레이션 자켓,249000,249000,0,컬럼비아스포츠웨어,https://shopping.naver.com/outlink/itemdetail/12963929225,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/1/C71YM3613011.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/1/C71YM3613011.jpg,https://shopping-phinf.pstatic.net/main_9050844/90508440235.jpg,[본사직영]컬럼비아 남성 파인 에비뉴 인슐레이션 자켓 C71YM3613011,3,"[{""lprice"": 249000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/12963929225""}, {""lprice"": 249000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/12963744618""}, {""lprice"": 249000, ""mallName"": ""29CM"", ""link"": ""https://product.29cm.co.kr/catalog/3719406?BSPRG=NAVERSH&utm_content=conversion_navershopping&naver_code=naver_ep&utm_term=3719406&utm_source=growth_naver&utm_campaign=conversion_navershopping&BSCPN=CMCOM&BSCCN1=3719406&utm_medium=display""}]",249000,0
C71YM3502494,M's Cow Mountain 2L Jacket,남성 카우 마운틴 2L 방수 자켓,299000,298990,10,무신사,https://link.musinsa.com/app/goods/4735956?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/l/1/C71YM3502494.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/l/1/C71YM3502494.jpg,https://shopping-phinf.pstatic.net/main_5261777/52617777027.1.jpg,[컬럼비아] 남성 카우 마운틴 2L 자켓 C71YM3502494,3,"[{""lprice"": 298990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/4735956?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 299000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""http://www.columbiakorea.co.kr/product/view.asp?pno=21262""}, {""lprice"": 299000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/11386182321""}]",298990,0
C71YM3502010,M's Cow Mountain 2L Jacket,남성 카우 마운틴 2L 방수 자켓,299000,280290,18710,옥션,https://link.auction.co.kr/gate/pcs?item-no=F424813630&sub-id=1&service-code=10000003,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/model07/4/C71YM3502010.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/model07/4/C71YM3502010.jpg,https://shopping-phinf.pstatic.net/main_5855867/58558671735.jpg,컬럼비아 COLUMBIA 남성 카우 마운틴 2L 자켓 C71YM3502010 412554,3,"[{""lprice"": 280290, ""mallName"": ""옥션"", ""link"": ""https://link.auction.co.kr/gate/pcs?item-no=F424813630&sub-id=1&service-code=10000003""}, {""lprice"": 294070, ""mallName"": ""롯데ON"", ""link"": ""https://www.lotteon.com/p/product/LO2584725366?sitmNo=LO2584725366_2584725367&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT""}, {""lprice"": 299000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/11386183166""}]",280290,0
C71YL6611655,W's Garden to Park L/S Crew,여성 가든 투 파크 긴팔 티셔츠,99000,98990,10,무신사,https://link.musinsa.com/app/goods/5956678?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/c/1/C71YL6611655.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/c/1/C71YL6611655.jpg,https://shopping-phinf.pstatic.net/main_5872875/58728759610.jpg,[컬럼비아] 여성 가든 투 파크 긴팔 티셔츠 C71YL6611655,3,"[{""lprice"": 98990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5956678?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13036925422""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/13036754864""}]",98990,0
C71YL6611191,W's Garden to Park L/S Crew,여성 가든 투 파크 긴팔 티셔츠,99000,98990,10,무신사,https://link.musinsa.com/app/goods/5956681?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group},https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/g/4/C71YL6611191.jpg,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/g/4/C71YL6611191.jpg,https://shopping-phinf.pstatic.net/main_5872860/58728609919.jpg,[컬럼비아] 여성 가든 투 파크 긴팔 티셔츠 C71YL6611191,3,"[{""lprice"": 98990, ""mallName"": ""무신사"", ""link"": ""https://link.musinsa.com/app/goods/5956681?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://shopping.naver.com/outlink/itemdetail/13036922715""}, {""lprice"": 99000, ""mallName"": ""컬럼비아스포츠웨어"", ""link"": ""https://smartstore.naver.com/main/products/13036755616""}]",98990,0
